GM_PONTO;CD_GEOCODIGO;TIPO;CD_GEOCODSD;NM_SUBDISTRITO;CD_GEOCODDS;NM_DISTRITO;CD_GEOCODMU;NM_MUNICIPIO;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGORIA;NM_CATEGORIA;NM_LOCALIDADE;LONG;LAT;ALT
;110001505000001;URBANO;11000150500;;110001505;ALTA FLORESTA D'OESTE;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ALTA FLORESTA D'OESTE;-61,9998239;-11,9355403;337,735719
;110001515000001;URBANO;11000151500;;110001515;FILADÉLFIA D'OESTE;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;FILADÉLFIA D'OESTE;-62,04389767;-12,43723873;215,244429
;110001520000001;URBANO;11000152000;;110001520;IZIDOLÂNDIA;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;IZIDOLÂNDIA;-62,17554949;-12,60141549;181,044807
;110001525000001;URBANO;11000152500;;110001525;NOVA GEASE D'OESTE;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;NOVA GEASE D'OESTE;-62,31865014;-11,91979246;191,576571
;110001530000001;URBANO;11000153000;;110001530;ROLIM DE MOURA DO GUAPORÉ;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;30;VILA;ROLIM DE MOURA DO GUAPORÉ;-62,27681227;-13,07980643;157,285277
;110001535000001;URBANO;11000153500;;110001535;SANTO ANTÔNIO D'OESTE;1100015;ALTA FLORESTA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;35;VILA;SANTO ANTÔNIO D'OESTE;-62,10442834;-12,08943882;407,707855
;110002305000001;URBANO;11000230500;;110002305;ARIQUEMES;1100023;ARIQUEMES;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ARIQUEMES;-63,03326928;-9,908462867;138,688981
;110003105000001;URBANO;11000310500;;110003105;CABIXI;1100031;CABIXI;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CABIXI;-60,54431358;-13,49976346;236,06316
;110003105000008;RURAL;11000310500;;110003105;CABIXI;1100031;CABIXI;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;PLANALTO SÃO LUIZ;-60,41520649;-13,37444677;264,992801
;110004905000001;URBANO;11000490500;;110004905;CACOAL;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CACOAL;-61,44294421;-11,43386503;177,453547
;110004910000001;URBANO;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;10;VILA;RIOZINHO;-61,35971462;-11,51060975;173,042902
;110004910000027;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00007;ALDEIA INDÍGENA;ALDEIA INDÍGENA SURUÍ - LINHA 14;-61,18093511;-11,19062035;256,534383
;110004910000028;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00006;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 14;-61,1763713;-11,23187778;258,142759
;110004910000029;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00005;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 12;-61,24899098;-11,22061032;205,526414
;110004910000030;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00004;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 11;-61,30525476;-11,17584434;227,287546
;110004910000032;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00003;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 10;-61,32274952;-11,09590013;197,418105
;110004910000033;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00002;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 9;-61,36036534;-11,09135807;215,455648
;110004910000034;RURAL;11000491000;;110004910;RIOZINHO;1100049;CACOAL;CACOAL;LESTE RONDONIENSE;RONDÔNIA;5;00001;ALDEIA INDÍGENA;ALDEIA INDÍGENA - LINHA 8;-61,41087128;-11,08271563;255,892437
;110005605000001;URBANO;11000560500;;110005605;CEREJEIRAS;1100056;CEREJEIRAS;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CEREJEIRAS;-60,81842616;-13,19503303;262,811307
;110006405000001;URBANO;11000640500;;110006405;COLORADO DO OESTE;1100064;COLORADO DO OESTE;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;COLORADO DO OESTE;-60,55506746;-13,13056384;419,090613
;110007205000001;URBANO;11000720500;;110007205;CORUMBIARA;1100072;CORUMBIARA;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CORUMBIARA;-60,94870117;-12,99752024;269,171178
;110007205000006;RURAL;11000720500;;110007205;CORUMBIARA;1100072;CORUMBIARA;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;ALTO GUARAJUS;-60,88881523;-12,96270222;244,836416
;110007205000017;RURAL;11000720500;;110007205;CORUMBIARA;1100072;CORUMBIARA;COLORADO DO OESTE;LESTE RONDONIENSE;RONDÔNIA;3;00002;POVOADO;VITÓRIA DA UNIÃO;-61,12869619;-13,01165548;214,161051
;110008005000001;URBANO;11000800500;;110008005;COSTA MARQUES;1100080;COSTA MARQUES;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;COSTA MARQUES;-64,23165394;-12,43601388;145,213903
;110008015000001;URBANO;11000801500;;110008015;PRÍNCIPE DA BEIRA;1100080;COSTA MARQUES;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;2;15;VILA;PRÍNCIPE DA BEIRA;-64,42086005;-12,42667975;141,902744
;110008015000009;RURAL;11000801500;;110008015;PRÍNCIPE DA BEIRA;1100080;COSTA MARQUES;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;3;00001;POVOADO;SÃO DOMINGOS;-64,0308512;-12,07767726;157,955667
;110009805000001;URBANO;11000980500;;110009805;ESPIGÃO D'OESTE;1100098;ESPIGÃO D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ESPIGÃO D'OESTE;-61,02017311;-11,52855463;262,527225
;110009810000001;URBANO;11000981000;;110009810;BOA VISTA DO PACARANA;1100098;ESPIGÃO D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;10;VILA;BOA VISTA DO PACARANA;-60,84679461;-11,00315261;208,816933
;110009812000001;URBANO;11000981200;;110009812;NOVO PARAÍSO;1100098;ESPIGÃO D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;12;VILA;NOVO PARAÍSO;-60,92381617;-11,46161262;242,120396
;110009815000001;URBANO;11000981500;;110009815;FLOR DA SERRA;1100098;ESPIGÃO D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;FLOR DA SERRA;-60,75128572;-11,40538518;417,852001
;110009818000001;URBANO;11000981800;;110009818;NOVA ESPERANÇA;1100098;ESPIGÃO D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;2;18;VILA;NOVA ESPERANÇA;-61,13205641;-11,50378986;220,850828
;110010605000001;URBANO;11001060500;;110010605;GUAJARÁ-MIRIM;1100106;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;GUAJARÁ-MIRIM;-65,32395182;-10,77388374;133,414381
;110010605000067;RURAL;11001060500;;110010605;GUAJARÁ-MIRIM;1100106;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;5;00002;ALDEIA INDÍGENA;POSTO INDÍGENA SANTO ANDRÉ;-64,75305669;-10,50428535;223,615191
;110010605000068;RURAL;11001060500;;110010605;GUAJARÁ-MIRIM;1100106;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;5;00001;ALDEIA INDÍGENA;POSTO INDÍGENA TANAJURA;-65,18373726;-11,04760022;148,192506
;110010612000001;URBANO;11001061200;;110010612;IATA;1100106;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;2;12;VILA;IATA;-65,38282803;-10,58985404;123,560904
;110010622000001;URBANO;11001062200;;110010622;SURPRESA;1100106;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;MADEIRA-GUAPORÉ;RONDÔNIA;2;22;VILA;SURPRESA;-65,02152149;-11,88231045;156,513517
;110011405000001;URBANO;11001140500;;110011405;JARU;1100114;JARU;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;JARU;-62,47623071;-10,43594877;162,551328
;110011410000001;URBANO;11001141000;;110011410;BOM JESUS;1100114;JARU;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;10;VILA;BOM JESUS;-62,24074985;-10,31546579;154,111258
;110011420000001;URBANO;11001142000;;110011420;SANTA CRUZ DA SERRA;1100114;JARU;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;SANTA CRUZ DA SERRA;-62,58710355;-10,6514735;189,119103
;110011425000001;URBANO;11001142500;;110011425;TARILÂNDIA;1100114;JARU;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;TARILÂNDIA;-62,8013133;-10,85691385;199,226144
;110011425000011;RURAL;11001142500;;110011425;TARILÂNDIA;1100114;JARU;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;3;00006;POVOADO;D'JARU-UARU;-62,97783323;-10,938063;250,537008
;110012205000001;URBANO;11001220500;;110012205;JI-PARANÁ;1100122;JI-PARANÁ;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;JI-PARANÁ;-61,94509458;-10,88205132;157,262673
;110012220000001;URBANO;11001222000;;110012220;NOVA COLINA;1100122;JI-PARANÁ;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;NOVA COLINA;-61,69317201;-10,79179653;174,288837
;110012225000001;URBANO;11001222500;;110012225;NOVA LONDRINA;1100122;JI-PARANÁ;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;NOVA LONDRINA;-62,00984785;-11,06477308;184,960098
;110013005000001;URBANO;11001300500;;110013005;MACHADINHO D'OESTE;1100130;MACHADINHO D'OESTE;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;MACHADINHO D'OESTE;-61,99959257;-9,42556248;144,19909
;110013015000001;URBANO;11001301500;;110013015;ORIENTE NOVO;1100130;MACHADINHO D'OESTE;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;ORIENTE NOVO;-62,39535271;-9,5894292;175,729542
;110013020000001;URBANO;11001302000;;110013020;QUINTO BEC;1100130;MACHADINHO D'OESTE;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;QUINTO BEC;-62,21566953;-9,689821206;147,162868
;110013025000001;URBANO;11001302500;;110013025;TABAJARA;1100130;MACHADINHO D'OESTE;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;TABAJARA;-62,05672348;-8,933362958;80,870539
;110014805000001;URBANO;11001480500;;110014805;NOVA BRASILÂNDIA D'OESTE;1100148;NOVA BRASILÂNDIA D'OESTE;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;NOVA BRASILÂNDIA D'OESTE;-62,30823016;-11,72132541;259,417475
;110015505000001;URBANO;11001550500;;110015505;OURO PRETO DO OESTE;1100155;OURO PRETO DO OESTE;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;OURO PRETO DO OESTE;-62,26105519;-10,7235739;252,167649
;110015525000001;URBANO;11001552500;;110015525;RONDOMINAS;1100155;OURO PRETO DO OESTE;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;RONDOMINAS;-61,99999964;-10,51359619;193,315746
;110018905000001;URBANO;11001890500;;110018905;PIMENTA BUENO;1100189;PIMENTA BUENO;VILHENA;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;PIMENTA BUENO;-61,18366567;-11,67753699;186,174033
;110018915000001;URBANO;11001891500;;110018915;MARCO RONDON;1100189;PIMENTA BUENO;VILHENA;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;MARCO RONDON;-60,86005812;-12,01342662;246,919312
;110020505000001;URBANO;11002050500;;110020505;PORTO VELHO;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;PORTO VELHO;-63,83144565;-8,76889179;86,895415
;110020505000049;RURAL;11002050500;;110020505;PORTO VELHO;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;3;00013;POVOADO;VILA PRINCESA;-63,94164337;-8,849551309;124,302333
;110020510000001;URBANO;11002051000;;110020510;ABUNÃ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;10;VILA;ABUNÃ;-65,37150573;-9,685617727;108,340813
;110020515000001;URBANO;11002051500;;110020515;CALAMA;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;15;VILA;CALAMA;-62,87188914;-8,025412018;65,263898
;110020516000001;URBANO;11002051600;;110020516;DEMARCAÇÃO;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;16;VILA;DEMARCAÇÃO;-62,77788277;-8,16692669;74,344632
;110020517000001;URBANO;11002051700;;110020517;EXTREMA;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;17;VILA;EXTREMA;-66,35955024;-9,774169529;143,159298
;110020518000001;URBANO;11002051800;;110020518;FORTALEZA DO ABUNÃ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;18;VILA;FORTALEZA DO ABUNÃ;-65,52162042;-9,773464002;119,564601
;110020520000001;URBANO;11002052000;;110020520;JACI PARANÁ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;20;VILA;JACI PARANÁ;-64,39510875;-9,252667853;73,48442
;110020525000001;URBANO;11002052500;;110020525;MUTUM PARANÁ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;25;VILA;MUTUM PARANÁ;-64,94270729;-9,618672417;86,0931
;110020525000005;RURAL;11002052500;;110020525;MUTUM PARANÁ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;3;00014;POVOADO;UNIÃO DOS BANDEIRANTES;-64,53514995;-9,713197968;168,959692
;110020530000001;URBANO;11002053000;;110020530;NAZARÉ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;30;VILA;NAZARÉ;-63,32230884;-8,164216539;50,352849
;110020535000001;URBANO;11002053500;;110020535;NOVA CALIFÓRNIA;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;35;VILA;NOVA CALIFÓRNIA;-66,60974842;-9,76017305;158,337431
;110020540000001;URBANO;11002054000;;110020540;SÃO CARLOS;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;40;VILA;SÃO CARLOS;-63,52995953;-8,437579588;76,057845
;110020545000001;URBANO;11002054500;;110020545;VISTA ALEGRE DO ABUNÃ;1100205;PORTO VELHO;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;45;VILA;VISTA ALEGRE DO ABUNÃ;-65,72932876;-9,656832472;135,507419
;110025405000001;URBANO;11002540500;;110025405;PRESIDENTE MÉDICI;1100254;PRESIDENTE MÉDICI;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;PRESIDENTE MÉDICI;-61,90943868;-11,17320502;178,222375
;110025415000001;URBANO;11002541500;;110025415;ESTRELA DE RONDÔNIA;1100254;PRESIDENTE MÉDICI;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;ESTRELA DE RONDÔNIA;-61,7828824;-11,30145494;202,979504
;110025420000001;URBANO;11002542000;;110025420;NOVO RIACHUELO;1100254;PRESIDENTE MÉDICI;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;NOVO RIACHUELO;-61,65782035;-11,08294669;225,710835
;110025425000001;URBANO;11002542500;;110025425;VILA BANDEIRA BRANCA;1100254;PRESIDENTE MÉDICI;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;VILA BANDEIRA BRANCA;-61,91987567;-11,07913536;175,81971
;110025430000001;URBANO;11002543000;;110025430;VILA CAMARGO;1100254;PRESIDENTE MÉDICI;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;30;VILA;VILA CAMARGO;-61,97572168;-11,13031158;188,361497
;110026205000001;URBANO;11002620500;;110026205;RIO CRESPO;1100262;RIO CRESPO;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;RIO CRESPO;-62,90001037;-9,70553671;124,322215
;110028805000001;URBANO;11002880500;;110028805;ROLIM DE MOURA;1100288;ROLIM DE MOURA;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ROLIM DE MOURA;-61,78578094;-11,72225891;226,711103
;110028805000073;RURAL;11002880500;;110028805;ROLIM DE MOURA;1100288;ROLIM DE MOURA;CACOAL;LESTE RONDONIENSE;RONDÔNIA;3;00002;POVOADO;NOVA ESTRELA;-61,54945777;-11,73046082;207,407303
;110029605000001;URBANO;11002960500;;110029605;SANTA LUZIA D'OESTE;1100296;SANTA LUZIA D'OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;SANTA LUZIA D'OESTE;-61,77330546;-11,90842333;265,234157
;110030405000001;URBANO;11003040500;;110030405;VILHENA;1100304;VILHENA;VILHENA;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;VILHENA;-60,13858387;-12,74137347;595,093769
;110030405000068;RURAL;11003040500;;110030405;VILHENA;1100304;VILHENA;VILHENA;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;NOVA CONQUISTA;-60,2870166;-12,98535383;305,06745
;110032005000001;URBANO;11003200500;;110032005;SÃO MIGUEL DO GUAPORÉ;1100320;SÃO MIGUEL DO GUAPORÉ;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;SÃO MIGUEL DO GUAPORÉ;-62,72006348;-11,69948974;191,082628
;110032020000001;URBANO;11003202000;;110032020;SANTANA DO GUAPORÉ;1100320;SÃO MIGUEL DO GUAPORÉ;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;2;20;VILA;SANTANA DO GUAPORÉ;-62,49684652;-11,72584872;245,702168
;110033805000001;URBANO;11003380500;;110033805;NOVA MAMORÉ;1100338;NOVA MAMORÉ;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;NOVA MAMORÉ;-65,32914902;-10,41177129;150,930604
;110033810000001;URBANO;11003381000;;110033810;ARARAS;1100338;NOVA MAMORÉ;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;10;VILA;ARARAS;-65,31902015;-10,0546152;101,414223
;110033812000001;URBANO;11003381200;;110033812;JACYNÓPOLIS;1100338;NOVA MAMORÉ;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;12;VILA;JACYNÓPOLIS;-64,28698908;-10,26904763;180,806254
;110033815000001;URBANO;11003381500;;110033815;NOVA DIMENSÃO;1100338;NOVA MAMORÉ;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;15;VILA;NOVA DIMENSÃO;-64,80646709;-10,37062878;197,037069
;110033820000001;URBANO;11003382000;;110033820;PALMEIRAS;1100338;NOVA MAMORÉ;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;20;VILA;PALMEIRAS;-64,97352353;-10,37776778;166,953147
;110034605000001;URBANO;11003460500;;110034605;ALVORADA D'OESTE;1100346;ALVORADA D'OESTE;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ALVORADA D'OESTE;-62,27727487;-11,34413002;182,40013
;110034625000001;URBANO;11003462500;;110034625;TANCREDÓPOLIS;1100346;ALVORADA D'OESTE;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;2;25;VILA;TANCREDÓPOLIS;-62,17548652;-11,18756987;234,148462
;110034630000001;URBANO;11003463000;;110034630;TERRA BOA;1100346;ALVORADA D'OESTE;ALVORADA D'OESTE;LESTE RONDONIENSE;RONDÔNIA;2;30;VILA;TERRA BOA;-62,46004276;-11,50990468;279,978238
;110037905000001;URBANO;11003790500;;110037905;ALTO ALEGRE DOS PARECIS;1100379;ALTO ALEGRE DOS PARECIS;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ALTO ALEGRE DOS PARECIS;-61,85307717;-12,13177722;396,560544
;110037905000014;RURAL;11003790500;;110037905;ALTO ALEGRE DOS PARECIS;1100379;ALTO ALEGRE DOS PARECIS;CACOAL;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;FLOR DA SERRA;-61,91597195;-12,45698196;225,39912
;110040305000001;URBANO;11004030500;;110040305;ALTO PARAÍSO;1100403;ALTO PARAÍSO;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;ALTO PARAÍSO;-63,31762943;-9,716666738;128,000112
;110045205000001;URBANO;11004520500;;110045205;BURITIS;1100452;BURITIS;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;BURITIS;-63,82967879;-10,20980541;153,171166
;110050205000001;URBANO;11005020500;;110050205;NOVO HORIZONTE DO OESTE;1100502;NOVO HORIZONTE DO OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;NOVO HORIZONTE DO OESTE;-61,99438766;-11,70974292;229,511705
;110050205000011;RURAL;11005020500;;110050205;NOVO HORIZONTE DO OESTE;1100502;NOVO HORIZONTE DO OESTE;CACOAL;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;MIGRANTINÓPOLIS;-62,144513;-11,73112873;249,499079
;110060105000001;URBANO;11006010500;;110060105;CACAULÂNDIA;1100601;CACAULÂNDIA;ARIQUEMES;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CACAULÂNDIA;-62,90318993;-10,33887284;161,056558
;110070005000001;URBANO;11007000500;;110070005;CAMPO NOVO DE RONDÔNIA;1100700;CAMPO NOVO DE RONDÔNIA;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;CAMPO NOVO DE RONDÔNIA;-63,62499143;-10,56841647;206,148936
;110070005000009;RURAL;11007000500;;110070005;CAMPO NOVO DE RONDÔNIA;1100700;CAMPO NOVO DE RONDÔNIA;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;3;00001;POVOADO;RIO BRANCO;-64,06451398;-10,26391706;160,037387
;110080905000001;URBANO;11008090500;;110080905;CANDEIAS DO JAMARI;1100809;CANDEIAS DO JAMARI;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;CANDEIAS DO JAMARI;-63,70002007;-8,785020703;84,750219
;110080905000012;RURAL;11008090500;;110080905;CANDEIAS DO JAMARI;1100809;CANDEIAS DO JAMARI;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;3;00001;POVOADO;NOVA SAMUEL;-63,4145294;-8,657402848;95,647667
;110080920000001;URBANO;11008092000;;110080920;RIO PRETO DO CANDEIAS;1100809;CANDEIAS DO JAMARI;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;2;20;VILA;RIO PRETO DO CANDEIAS;-63,46525951;-9,281578782;95,188588
;110090805000001;URBANO;11009080500;;110090805;CASTANHEIRAS;1100908;CASTANHEIRAS;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CASTANHEIRAS;-61,9491612;-11,42684223;214,995394
;110090805000008;RURAL;11009080500;;110090805;CASTANHEIRAS;1100908;CASTANHEIRAS;CACOAL;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;JARDINÓPOLIS;-61,88928475;-11,49588199;217,765572
;110092405000001;URBANO;11009240500;;110092405;CHUPINGUAIA;1100924;CHUPINGUAIA;VILHENA;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;CHUPINGUAIA;-60,90184775;-12,55684076;340,299631
;110092405000013;RURAL;11009240500;;110092405;CHUPINGUAIA;1100924;CHUPINGUAIA;VILHENA;LESTE RONDONIENSE;RONDÔNIA;3;00002;POVOADO;VILA GUAPORÉ;-60,68667912;-12,23181417;351,286135
;110092405000017;RURAL;11009240500;;110092405;CHUPINGUAIA;1100924;CHUPINGUAIA;VILHENA;LESTE RONDONIENSE;RONDÔNIA;3;00001;POVOADO;BOA ESPERANÇA;-61,04407339;-12,29839721;232,034276
;110094005000001;URBANO;11009400500;;110094005;CUJUBIM;1100940;CUJUBIM;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;CUJUBIM;-62,58717453;-9,378193399;110,959894
;110100505000001;URBANO;11010050500;;110100505;GOVERNADOR JORGE TEIXEIRA;1101005;GOVERNADOR JORGE TEIXEIRA;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;GOVERNADOR JORGE TEIXEIRA;-62,74045764;-10,61207177;201,781008
;110100515000001;URBANO;11010051500;;110100515;COLINA VERDE;1101005;GOVERNADOR JORGE TEIXEIRA;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;2;15;VILA;COLINA VERDE;-63,01908061;-10,54147557;210,999271
;110110405000001;URBANO;11011040500;;110110405;ITAPUÃ DO OESTE;1101104;ITAPUÃ DO OESTE;PORTO VELHO;MADEIRA-GUAPORÉ;RONDÔNIA;1;05;CIDADE;ITAPUÃ DO OESTE;-63,18233702;-9,191871675;98,95108
;110120305000001;URBANO;11012030500;;110120305;MINISTRO ANDREAZZA;1101203;MINISTRO ANDREAZZA;CACOAL;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;MINISTRO ANDREAZZA;-61,51892193;-11,19623798;266,291526
;110130205000001;URBANO;11013020500;;110130205;MIRANTE DA SERRA;1101302;MIRANTE DA SERRA;JI-PARANÁ;LESTE RONDONIENSE;RONDÔNIA;1;05;CIDADE;MIRANTE DA SERRA;-62,6694271;-11,04560929;211,815643
